date,weight_lb,sleep_hrs,sleep_score,HRV,RHR,body_battery_AM,training_summary,key_lifts,est_calories,est_protein_g,alcohol_drinks,stress_1to10,mood_1to10,soreness_1to10,notes
2026-05-06,193,,,,,,Rest day - high stress at work,,~2400,~150,0,7,6,2,Lunch: 2 chicken tacos w/ mozz + churro. Climbing gym membership tomorrow. Ordered Garmin nylon band + supplements.
2026-05-06,193,,,,,,Rest - high stress,,~900,~65,0,7,6,2,"Lunch: 2 chicken tacos + churro. Supplements arrived: fish oil, magnesium, D3. Garmin band ordered."
2026-05-07,,,69,,62,56,Rest - presentation day,,~1800,~130,0,6,6,2,Presentation at work. Knee bump incident - hematoma resolved overnight. Magnesium started.
2026-05-08,,7.7,81,38,,,Rest,,,,0,,,,"Good sleep night - score 81, REM 108m, best night of period"
2026-05-09,,8.2,87,44,,,Rest,,,,0,,,,"Best sleep of period - score 87, REM 83m, awake only 13m"
2026-05-10,,7,53,37,,,Rest,,,,4-5,,,,"Mother's Day drinking night. Score crashed to 53, REM only 11m, awake 80m. Alcohol impact confirmed."
2026-05-11,,6.2,55,38,,,Rest,,,,0,,,,"Sleep hangover from Sunday drinking. Score 55, awake 94m."
2026-05-12,,8.2,87,50,,,Rest,,,,0,,,,"Recovery night - score 87, HRV 50 (weekly high), REM 94m"
2026-05-13,,,69,45,,,Rest - first log day,,~900,~65,0,6,7,2,First daily log. Lunch: chicken tacos. Fasted until 1pm. Supplements inconsistent - creatine missed.
2026-05-14,,6,68,40,,,Rest,,,,0,,,,
2026-05-15,,7.4,79,37,,,Rest,,,,0,,,,
2026-05-16,,7.7,39,32,,,Rest,,,,5,,,,4 beers + bourbon Saturday night. Worst sleep score of period (39). REM crashed to 34m. HRV dropped to 32 (weekly low).
2026-05-17,,7.1,64,44,,61,Rest,,~1200,~100,0,,,,Garmin script built. Body battery 61 waking. Steps only 1597.
2026-05-18,,6.9,64,42,63,56,Rest - first day back w gym card,,~1500,~100,0,,,3,"Garmin report: HRV 42 balanced, RHR 63, BB 56 waking/17 current. Avg stress 43. Chick-fil-a 30cnt dinner. Gym card resolved. New training split agreed."