id,domain,title,abstract,url,llm_maturation,llm_profit_mechanism,llm_retail_accessibility,llm_specificity,llm_final,llm_flag,llm_time_to_thesis,llm_translation,llm_public_vehicles,llm_rationale,prompt_version,model,input_tokens,output_tokens,cost_usd,run_timestamp
1,AI,RL-STPA: Adapting System-Theoretic Hazard Analysis for Safety-Critical Reinforcement Learning,"As reinforcement learning (RL) deployments expand into safety-critical domains, existing evaluation methods fail to systematically identify hazards arising from the black-box nature of neural network enabled policies and distributional shift between training and deployment. This paper introduces Reinforcement Learning System-Theoretic Process Analysis (RL-STPA), a framework that adapts conventional STPA's systematic hazard analysis to address RL's unique challenges through three key contributions: hierarchical subtask decomposition using both temporal phase analysis and domain expertise to capture emergent behaviors, coverage-guided perturbation testing that explores the sensitivity of state-action spaces, and iterative checkpoints that feed identified hazards back into training through reward shaping and curriculum design. We demonstrate RL-STPA in the safety-critical test case of autonomous drone navigation and landing, revealing potential loss scenarios that can be missed by standard RL evaluations. The proposed framework provides practitioners with a toolkit for systematic hazard analysis, quantitative metrics for safety coverage assessment, and actionable guidelines for establishing operational safety bounds. While RL-STPA cannot provide formal guarantees for arbitrary neural policies, it offers a practical methodology for systematically evaluating and improving RL safety and robustness in safety-critical applications where exhaustive verification methods remain intractable.",https://arxiv.org/abs/2604.15201v1,4,4,3,5,3.5,skip,5+yr,"This paper introduces a structured safety analysis framework (RL-STPA) for reinforcement learning systems deployed in high-stakes settings like autonomous drones, adapting an existing industrial safety methodology (STPA) to handle the unpredictability of AI-driven policies. The core contribution is a methodology toolkit — not a product — helping engineers systematically find failure modes that standard RL testing misses. While autonomous drone and robotics safety is a real commercial concern, this is a framework paper with no named commercial partners, and the beneficiaries (drone manufacturers, aerospace companies) are fragmented or private, making it difficult to translate into a clean public equity position.",[],"Framework/methodology paper with no commercial partner named, retail accessibility below threshold, and benefit diffuses across many potential industrial users rather than concentrating in a single investable vehicle.",v0.2-2026-04-18,claude-sonnet-4-6,3139,275,0.013542,2026-04-18T15:57:14
2,AI,Optimal last-iterate convergence in matrix games with bandit feedback using the log-barrier,"We study the problem of learning minimax policies in zero-sum matrix games. Fiegel et al. (2025) recently showed that achieving last-iterate convergence in this setting is harder when the players are uncoupled, by proving a lower bound on the exploitability gap of Omega(t^{-1/4}). Some online mirror descent algorithms were proposed in the literature for this problem, but none have truly attained this rate yet. We show that the use of a log-barrier regularization, along with a dual-focused analysis, allows this O-tilde(t^{-1/4}) convergence with high-probability. We additionally extend our idea to the setting of extensive-form games, proving a bound with the same rate.",https://arxiv.org/abs/2604.15242v1,6,2,1,7,3,skip,5+yr,"This paper proves that a specific algorithm (log-barrier mirror descent) achieves the theoretically optimal learning speed in two-player zero-sum games when each player can only observe whether they won or lost, not the full game state. It closes a theoretical gap that was open in the academic literature. This is foundational game-theory math with no near-term commercial path visible from the abstract — the nearest applications (multi-agent reinforcement learning, auction design) are many steps removed from any investable public company.",[],Pure theoretical convergence result in game theory with no identifiable commercial mechanism or public-company beneficiary within any actionable timeframe.,v0.2-2026-04-18,claude-sonnet-4-6,3018,228,0.012474,2026-04-18T15:57:20
3,AI,Optimal algorithmic complexity of inference in quantum kernel methods,"Quantum kernel methods are among the leading candidates for achieving quantum advantage in supervised learning. A key bottleneck is the cost of inference: evaluating a trained model on new data requires estimating a weighted sum ∑_{i=1}^N α_i k(x,x_i) of N kernel values to additive precision ε, where α is the vector of trained coefficients. The standard approach estimates each term independently via sampling, yielding a query complexity of O(N||α||_2^2/ε^2). In this work, we identify two independent axes for improvement: (1) How individual kernel values are estimated (sampling versus quantum amplitude estimation), and (2) how the sum is approximated (term-by-term versus via a single observable), and systematically analyze all combinations thereof. The query-optimal combination, encoding the full inference sum as the expectation value of a single observable and applying quantum amplitude estimation, achieves a query complexity of O(||α||_1/ε), removing the dependence on N from the query count and yielding a quadratic improvement in both ||α||_1 and ε. We prove a matching lower bound of Ω(||α||_1/ε), establishing query-optimality of our approach up to logarithmic factors. Beyond query complexity, we also analyze how these improvements translate into gate costs and show that the query-optimal strategy is not always optimal in practice from the perspective of gate complexity. Our results provide both a query-optimal algorithm and a practically optimal choice of strategy depending on hardware capabilities, along with a complete landscape of intermediate methods to guide practitioners. All algorithms require only amplitude estimation as a subroutine and are thus natural candidates for early-fault-tolerant implementations.",https://arxiv.org/abs/2604.15214v1,6,2,2,7,3.5,skip,5+yr,"This paper works out the mathematically optimal way to speed up a key step in quantum machine learning — specifically, how quickly a quantum computer can evaluate a trained model on new data. They prove both an upper bound (their new algorithm) and a matching lower bound, confirming this is the best possible approach. This is foundational quantum computing theory: it matters enormously if and when fault-tolerant quantum hardware matures, but there is no near-term commercial path — quantum kernel methods at useful scale are years away from any hardware that could run these algorithms, and no public company's near-term revenue depends on this result.",[],Pure quantum algorithm theory with matching lower bounds — impressive math but no commercial path within 2-5 years and no investable public vehicle where this mechanism is load-bearing.,v0.2-2026-04-18,claude-sonnet-4-6,3224,266,0.013662,2026-04-18T15:57:27
4,AI,Agentic Microphysics: A Manifesto for Generative AI Safety,"This paper advances a methodological proposal for safety research in agentic AI. As systems acquire planning, memory, tool use, persistent identity, and sustained interaction, safety can no longer be analysed primarily at the level of the isolated model. Population-level risks arise from structured interaction among agents, through processes of communication, observation, and mutual influence that shape collective behaviour over time. As the object of analysis shifts, a methodological gap emerges. Approaches focused either on single agents or on aggregate outcomes do not identify the interaction-level mechanisms that generate collective risks or the design variables that control them. A framework is required that links local interaction structure to population-level dynamics in a causally explicit way, allowing both explanation and intervention. We introduce two linked concepts. Agentic microphysics defines the level of analysis: local interaction dynamics where one agent's output becomes another's input under specific protocol conditions. Generative safety defines the methodology: growing phenomena and elicit risks from micro-level conditions to identify sufficient mechanisms, detect thresholds, and design effective interventions.",https://arxiv.org/abs/2604.15236v1,2,2,2,2,2.5,skip,5+yr,"This paper proposes a new theoretical framework ('agentic microphysics') for thinking about AI safety risks that emerge from interactions between multiple AI agents, rather than from any single model. It's a methodological manifesto — a call for a new research agenda — with no experimental results, benchmarks, or deployed systems described. There is no near-term commercial path: this is a conceptual foundation paper for an academic subfield that may take many years to produce actionable findings.",[],"Pure framework proposal with no empirical results, no named beneficiaries, and no commercial mechanism — scores low across every axis that matters for the operator's thesis-detection frame.",v0.2-2026-04-18,claude-sonnet-4-6,3079,238,0.012807,2026-04-18T15:57:33
5,Quantum,A NISQ-friendly Coined Quantum Walk Algorithm for Chaos-based Cryptographic Applications,"We present a novel lackadaisical alternating quantum walk (LAQW) algorithm whose circuit depth scales as O(n^2+nt) for a n× n lattice over t time steps. We show that this is a significant depth reduction compared to the existing controlled alternating quantum walk (CAQW) model, which has a circuit depth that scales as O(n^2t) (Li et al., 2017, arXiv:1707.07389). This makes the implementation of the LAQW viable for Noisy Intermediate-scale Quantum (NISQ) devices. We then showcase the applicability of the LAQW algorithm by proposing a chaos-based symmetric-key generation scheme. Our approach uses the LAQW as a quantum entropy source from which reproducible random bitstring sequences are generated using the underlying probability distribution and subsequent post-processing methods. We provide a comprehensive evaluation of the LAQW algorithm and demonstrate the reproducibility of 128-bit keys under simulated quantum noise provided by IBM's FakeTorino backend. A direct comparison with the CAQW model, which has been used in image encryption and hash function schemes (Li et al., 2017, arXiv:1707.07389; Abd EL-Latif et al., 2020, ScienceDirect; Abd El-Latif, Abd El-Atty, and Venegas-Andraca, 2020, ScienceDirect), highlights the potential and usefulness of the LAQW model in cryptographic applications.",https://arxiv.org/abs/2604.15030v1,5,3,2,6,3.5,skip,5+yr,"The researchers developed a new quantum walk algorithm that runs shallower circuits than prior approaches, making it more practical on today's noisy quantum hardware. They use it to generate cryptographic keys, demonstrating reproducible 128-bit keys even under simulated noise. While technically interesting, quantum-based cryptography is years from displacing classical methods, and there's no identifiable public company whose near-term revenue would be moved by this specific algorithm.",[],"Retail_accessibility=2 fires the hard cap — the mechanism benefits academic/private NISQ research with no clear pure-play public vehicle, and the cryptography application is far from commercial deployment.",v0.2-2026-04-18,claude-sonnet-4-6,3206,236,0.013158,2026-04-18T15:57:39
6,Quantum,Minimum energy and photon content in PT symmetric metamaterials,"In the context of waves in space time modulated materials, we ask two questions how much energy does it cost to break time reversal symmetry and transition to a PT symmetric state. and can a PT symmetric system have a ground state in the sense that no photons are present. Our model system is a periodic metamaterial set in virtual motion with velocity cg to become a space-time crystal. We find that the expectation of energy content is always increased on breaking symmetry. At the same time breaking T symmetry introduces photon-pairs even when we start from a T symmetric ground state empty of photons, except in certain pathological examples which we describe. For a range of velocities, PT symmetry is broken so that energy must be continuously invested to preserve motion, creating a trail of photon pairs. Here energy must be continuously invested to preserve motion. We make an analogy with acoustic radiation generated from breaking the sound barrier.",https://arxiv.org/abs/2604.15178v1,4,2,1,5,2.5,skip,5+yr,"This paper asks theoretical questions about what happens to energy and photons inside specially designed materials (metamaterials) when you break certain symmetries — specifically 'time-reversal symmetry' — by setting the material into a kind of virtual motion. They find that breaking this symmetry always costs energy and spontaneously creates pairs of photons, drawing an analogy to the sonic boom from breaking the sound barrier. This is foundational physics research on exotic material behavior with no clear commercial application visible in the near term. There is no identifiable public company whose near-term revenue would be affected by this finding.",[],Pure theoretical physics in PT-symmetric metamaterials with no commercial path or identifiable public vehicle; retail_accessibility=1 triggers the cap and confirms skip.,v0.2-2026-04-18,claude-sonnet-4-6,3044,260,0.013032,2026-04-18T15:58:15
7,Quantum,Quantum instanton approach to metastable collective spins,"Collective spin systems -- spin ensembles coupled to a common reservoir and effectively described by a single macrospin -- play an important role in both atomic and solid-state physics. Their intrinsic nonlinearity gives rise to multiple long-lived metastable states that ultimately relax to a unique most probable state. This dominant state can change with a control parameter, leading to first-order phase transitions. We develop a real-time instanton approach based on quantum quasiprobability dynamics that captures the stationary state in the large-spin limit and the asymptotic scaling of relaxation rates. We further show that these features are not accurately described by the previously applied semiclassical Wigner approach due to its neglect of non-Gaussian fluctuations.",https://arxiv.org/abs/2604.15091v1,5,2,1,5,2.5,skip,5+yr,"This paper develops a new mathematical method (quantum instanton approach) to better describe how collections of quantum spins transition between stable states, showing that a previously standard approximation (the semiclassical Wigner method) misses important quantum effects. The work is theoretical and addresses fundamental physics of spin systems used in atomic and solid-state physics research. There is no near-term commercial application or identifiable public company whose revenue would be affected by this theoretical advance.",[],Pure theoretical physics with no commercial path in any reasonable horizon; retail_accessibility=1 caps the final score regardless of scientific merit.,v0.2-2026-04-18,claude-sonnet-4-6,3012,224,0.012396,2026-04-18T15:58:21
8,Energy,Inverse design of exceptional points in a single-resonance two-port network,"Exceptional points (EPs) in non-Hermitian photonic systems enable unconventional control of wave amplitude and phase. However, identifying the EPs in multidimensional parameter space of a system can be nontrivial and, in some cases, even infeasible. Here we propose an inverse-design method to efficiently locate the scattering EPs for a two-port resonant system supporting a single mode. The proposed method provides a direct guide for tuning of geometric parameters to realize scattering EPs, as confirmed by both full-wave simulation and equivalent circuit model. In principle, our method is compatible with multi-mode system, making it broadly applicable to a broad class of resonant systems.",https://arxiv.org/abs/2604.14744v1,3,2,1,4,2.5,skip,5+yr,"This paper proposes a mathematical method to find 'exceptional points' — special operating conditions in wave systems where two resonance modes merge — making it easier to design photonic devices that exploit these unusual wave behaviors. While exceptional points have generated academic interest for sensing and signal processing applications, this work is purely a design-method paper with no demonstrated product or commercial application. The path from this theoretical tool to anything that moves a public company's revenue is at least a decade long.",[],"Pure theoretical/computational method paper in non-Hermitian photonics with no commercial application, named partner, or near-term product path; retail_accessibility=1 fires the cap.",v0.2-2026-04-18,claude-sonnet-4-6,3004,233,0.012507,2026-04-18T15:58:27
9,Energy,Magneto-optical imaging of macroscopic altermagnetic domains in MnTe,"Altermagnets are a new class of magnets accompanying global time-reversal symmetry breaking (TRSB) without net magnetization. The TRSB results in formation of novel altermagnetic domains. Features of altermagnetic domains, in particular their responses to external stimuli, are essentially important but yet unexplored. Here, we report visualization of bulk altermagnetic domains in MnTe based on scanning magneto-optical Kerr-effect microscopy using telecom infrared wavelength. We found two distinct TRSB domains with large Kerr rotations that do not scale with its tiny bulk magnetization. We also revealed controllability and stability of domains against magnetic or thermal perturbations. Our first observation of altermagnetic domains using a laboratory-scale simple optical technique showing their movable nature provide firm bases for future fundamental and application studies of altermagnets.",https://arxiv.org/abs/2604.14947v1,4,2,2,5,3,skip,5+yr,"Researchers directly imaged, for the first time, the magnetic domain structure of a new class of magnetic material called an altermagnet (specifically MnTe), using a standard optical lab technique. This is fundamental physics research establishing that these exotic domains exist and can be manipulated — essentially a first observation paper with no commercial pathway visible yet. The nearest potential application (spintronics, next-gen memory) is many years and many research steps away from affecting any public company's revenue.",[],"First-observation paper on a new material class with no commercial path visible in <5 years; retail_accessibility fires the cap at 2, and there is no near-term public-vehicle angle.",v0.2-2026-04-18,claude-sonnet-4-6,3052,238,0.012726,2026-04-18T15:58:34
10,Energy,Spin-Valley-Mismatched Altermagnet for Giant Tunneling Magnetoresistance,"Altermagnet-based heterojunctions have demonstrated magnetoresistive effects in experiments, however, a predictive theoretical model for non-ferromagnetic structures has remained elusive. In this work, we develop a tunneling-based spin-transport theory that explicitly incorporates the transverse-wavevector (bf{k}_||)-dependent spin polarization of an altermagnet's transport channels, enabling the prediction of giant tunneling magnetoresistance (TMR). Based on the theory, we predict that the altermagnet KV_2Se_2O can reach the extreme limit of magnetoresistance. By performing first-principles transport calculations, we verify that magnetic tunnel junctions using the metallic KV_2Se_2O as the electrodes and few-layer MgO as the spacer exhibit zero-bias magnetoresistance larger than 7.57×10^7\%, which is robust against the bias and thickness of the spacer. Our research provides a quantitative design principle for next-generation spin-electronic devices and establishes KV_2Se_2O/MgO/KV_2Se_2O as a leading candidate material system for room-temperature ultra-high-density non-volatile memory.",https://arxiv.org/abs/2604.14776v1,5,6,4,7,4.5,watchlist,2-5yr,"Researchers developed a theoretical framework to predict a phenomenon called giant tunneling magnetoresistance (TMR) in a new class of magnetic materials called altermagnets, and used first-principles calculations to show a specific material stack (KV₂Se₂O/MgO/KV₂Se₂O) could achieve magnetoresistance ratios exceeding 75 million percent — orders of magnitude beyond today's commercial memory devices. If this can be physically fabricated and verified in a lab, it would represent a step-change in the density and efficiency of non-volatile memory chips. The nearest public-company angle is the memory sector — Micron, Western Digital, and Seagate — though this paper is still a computational prediction, not a demonstrated device, so the gate to actionability is experimental synthesis and validation.","[""MU"", ""WDC"", ""STX""]","Highly specific computational prediction with named material system and quantitative TMR claim, but remains a theory/DFT result with no experimental fabrication — memory sector exposure is real but the lab-to-product gap keeps this at watchlist.",v0.2-2026-04-18,claude-sonnet-4-6,3126,339,0.014463,2026-04-18T15:58:42
11,Robotics,CAVERS: Multimodal SLAM Data from a Natural Karstic Cave with Ground Truth Motion Capture,"Autonomous robots operating in natural karstic caves face perception and navigation challenges that are qualitatively distinct from those encountered in mines or tunnels: irregular geometry, reflective wet surfaces, near-zero ambient light, and complex branching passages. Yet publicly available datasets targeting this environment remain scarce and offer limited sensing modalities and environmental diversity. We present CAVERS, a multimodal dataset acquired in two structurally distinct rooms of Cueva de la Victoria, Málaga, Spain, comprising 24 sequences totaling approximately 335 GB of recorded data. The sensor suite combines an Intel RealSense D435i RGB-D-I camera, an Optris PI640i near-IR thermal camera, and a Velodyne VLP-16 LiDAR, operated both handheld and mounted on a wheeled rover under full darkness and artificial illumination. For most of the sequences, mm-accurate 6-DoF ground truth pose and velocity at 120 Hz are provided by an Optirack motion capture system installed directly inside the cave. We benchmark seven state-of-the-art SLAM and odometry algorithms spanning visual, visual-inertial, thermal-inertial, and LiDAR-based pipelines, as well as a 3D reconstruction pipeline, demonstrating the dataset's usability. %The dataset and all supplementary material are publicly available at: https://github.com/spaceuma/cavers.",https://arxiv.org/abs/2604.15052v1,5,2,2,6,3,skip,5+yr,"The researchers created a publicly available sensor dataset from inside a natural cave in Spain, capturing RGB-D, thermal, and LiDAR data with millimeter-accurate ground truth positioning — then tested seven SLAM navigation algorithms against it. Cave-navigation robotics is a niche research domain with limited near-term commercial urgency compared to industrial or urban robotics. There are no clear public equity vehicles where this dataset would be load-bearing to near-term revenue.",[],Dataset paper for a niche environment (natural caves) with no identifiable commercial path or public-company beneficiary in a 2-year window; retail_accessibility fires the cap.,v0.2-2026-04-18,claude-sonnet-4-6,3179,234,0.013047,2026-04-18T15:58:48
12,Robotics,HRDexDB: A Large-Scale Dataset of Dexterous Human and Robotic Hand Grasps,"We present HRDexDB, a large-scale, multi-modal dataset of high-fidelity dexterous grasping sequences featuring both human and diverse robotic hands. Unlike existing datasets, HRDexDB provides a comprehensive collection of grasping trajectories across human hands and multiple robot hand embodiments, spanning 100 diverse objects. Leveraging state-of-the-art vision methods and a new dedicated multi-camera system, our HRDexDB offers high-precision spatiotemporal 3D ground-truth motion for both the agent and the manipulated object. To facilitate the study of physical interaction, HRDexDB includes high-resolution tactile signals, synchronized multi-view video, and egocentric video streams. The dataset comprises 1.4K grasping trials, encompassing both successes and failures, each enriched with visual, kinematic, and tactile modalities. By providing closely aligned captures of human dexterity and robotic execution on the same target objects under comparable grasping motions, HRDexDB serves as a foundational benchmark for multi-modal policy learning and cross-domain dexterous manipulation.",https://arxiv.org/abs/2604.14944v1,4,3,2,5,3.5,skip,5+yr,"The researchers built a large dataset of dexterous grasping motions — capturing both human hands and robot hands gripping 100 different objects — with synchronized video, 3D motion data, and tactile sensor readings across 1,400 trials. This kind of dataset is an enabling resource for training robots to manipulate objects with human-like dexterity, which is a major unsolved problem in robotics. However, datasets like this are foundational infrastructure that anyone can use, which means no single company captures the value — the benefit diffuses broadly across the research ecosystem with no clear near-term commercial payoff or investable vehicle.",[],"Dataset contribution with no named commercial partner; benefit diffuses as a public resource, and retail_accessibility is too low (2) for any actionable investment angle.",v0.2-2026-04-18,claude-sonnet-4-6,3117,265,0.013326,2026-04-18T15:58:55
13,Robotics,DockAnywhere: Data-Efficient Visuomotor Policy Learning for Mobile Manipulation via Novel Demonstration Generation,"Mobile manipulation is a fundamental capability that enables robots to interact in expansive environments such as homes and factories. Most existing approaches follow a two-stage paradigm, where the robot first navigates to a docking point and then performs fixed-base manipulation using powerful visuomotor policies. However, real-world mobile manipulation often suffers from the view generalization problem due to shifts of docking points. To address this issue, we propose a novel low-cost demonstration generation framework named DockAnywhere, which improves viewpoint generalization under docking variability by lifting a single demonstration to diverse feasible docking configurations. Specifically, DockAnywhere lifts a trajectory to any feasible docking points by decoupling docking-dependent base motions from contact-rich manipulation skills that remain invariant across viewpoints. Feasible docking proposals are sampled under feasibility constraints, and corresponding trajectories are generated via structure-preserving augmentation. Visual observations are synthesized in 3D space by representing the robot and objects as point clouds and applying point-level spatial editing to ensure the consistency of observation and action across viewpoints. Extensive experiments on ManiSkill and real-world platforms demonstrate that DockAnywhere substantially improves policy success rates and easily generalizes to novel viewpoints from unseen docking points during training, significantly enhancing the generalization capability of mobile manipulation policy in real-world deployment.",https://arxiv.org/abs/2604.15023v1,6,6,5,6,6.5,thesis,2-5yr,"This paper tackles a key bottleneck in mobile robots (like warehouse or home robots): when a robot parks itself in slightly different spots each time, its learned manipulation skills often fail because the camera view changes. DockAnywhere is a training method that takes a single recorded robot demonstration and automatically generates many variants from different parking positions, so the robot learns to be robust to where it docks. This matters for the 2-year window because it lowers the data cost of deploying capable mobile manipulators — a core challenge for companies like Boston Dynamics (Hyundai), iRobot, or the manipulation-focused robotics pure-plays; the nearest investable angle is probably Teradyne (which owns Universal Robots) or any publicly listed warehouse automation company that competes on robot dexterity.","[""TER"", ""IRBT""]","Concrete method with real-world validation that reduces the data bottleneck for mobile manipulation deployment, but benefit diffuses across robotics vendors rather than locking in one pure-play.",v0.2-2026-04-18,claude-sonnet-4-6,3161,315,0.014208,2026-04-18T15:59:04
14,Bio,PUFFIN: Protein Unit Discovery with Functional Supervision,"Proteins carry out biological functions through the coordinated action of groups of residues organized into structural arrangements. These arrangements, which we refer to as protein units, exist at an intermediate scale, being larger than individual residues yet smaller than entire proteins. A deeper understanding of protein function can be achieved by identifying these units and their associations with function. However, existing approaches either focus on residue-level signals, rely on curated annotations, or segment protein structures without incorporating functional information, thereby limiting interpretable analysis of structure-function relationships. We introduce PUFFIN, a data-driven framework for discovering protein units by jointly learning structural partitioning and functional supervision. PUFFIN represents proteins as residue-level structure graphs and applies a graph neural network with a structure-aware pooling mechanism that partitions each protein into multi-residue units, with functional supervision that shapes the partition. We show that the learned units are structurally coherent, exhibit organized associations with molecular function, and show meaningful correspondence with curated InterPro annotations. Together, these results demonstrate that PUFFIN provides an interpretable framework for analyzing structure-function relationships using learned protein units and their statistical function associations. We made our source code available at https://github.com/boun-tabi-lifelu/puffin.",https://arxiv.org/abs/2604.14796v1,3,2,1,5,3,skip,5+yr,This paper introduces a new machine learning framework called PUFFIN that automatically identifies functional sub-regions within proteins by combining structural graph analysis with biological function labels. The goal is to make it easier to understand which parts of a protein do what — useful for drug target identification and protein engineering. This is foundational research with no near-term commercial path; it would need to be integrated into a drug discovery platform and validated over many years before affecting any public company's revenue.,[],"Novel framework introduction with no commercial partner, no quantified drug-discovery improvement, and no identifiable public-company beneficiary — retail_accessibility=1 fires the hard cap.",v0.2-2026-04-18,claude-sonnet-4-6,3123,227,0.012774,2026-04-18T15:59:10
15,Health,Robust Evaluation of Neural Encoding Models via ground-truth approximation,"Encoding models enable measurement of how our brains represent sensory inputs using electro-and magneto-encephalography (MEEG). Evaluating how closely encoding models reflect the underlying brain functions is a crucial premise for model interpretation and hypothesis testing. However, the ground-truth neural activity is unknown, preventing model evaluation with respect to the target neural signal. Existing evaluation metrics must therefore relate model's predictions to noisy MEEG measurements, where most variance is stimulus-unrelated. Here, I introduce an evaluation framework where model predictions are compared to a ground-truth approximation, obtained by aligning MEEG signals with predictions using canonical correlation analysis and via participant averaging. The resulting metric (CPA-PA) yields single-participant evaluations outperforming conventional scores by 300-1000% on synthetic EEG data and 250% on 34 real MEEG datasets (818 datapoints). These gains reflect increased sensitivity to stimulus-relevant neural activity and reduced dependence on SNR, establishing ground-truth approximation as a robust framework for evaluating encoding models.",https://arxiv.org/abs/2604.14694v1,5,2,1,7,3,skip,5+yr,"This paper proposes a better way to evaluate computational models of how the brain processes sensory information, using EEG/MEG brain recordings. The new metric outperforms existing approaches by 250-1000% on benchmark datasets. This is a methodological improvement for neuroscience research — valuable in academic settings but with no clear path to moving a public company's revenue or stock price within two years.",[],Pure neuroscience methodology paper with no commercial path or investable public vehicle; retail_accessibility=1 triggers the cap.,v0.2-2026-04-18,claude-sonnet-4-6,3082,210,0.012396,2026-04-18T15:59:15
16,Health,Goxpyriment: A Go Framework for Behavioral and Cognitive Experiments,"We introduce `Goxpyriment', a new open-source software framework for programming behavioral and cognitive experiments using the Go programming language. The library is designed to address some limitations of existing Python-based experiment tools, particularly the runtime environment complexity that frequently complicates deployment across laboratories. Because Go is a compiled language that can natively embed assets (e.g., graphics, audio files, and stimulus lists), Goxpyriment compiles entire experiments into single, self-contained executable binaries with zero runtime dependencies. This drastically simplifies distribution to collaborators and testing computers. The programming interface, inspired by Expyriment (Krause & Lindemann, 2014), was designed to be human friendly. The library includes an array of visual stimuli (text, shapes, images, Gabor patches, motion clouds, ...) and audio capabilities (WAV playback and tone generation). While developing Goxpyriment, we focused on timing reliability. Input events are timestamped by the operating system at hardware-interrupt time, so reaction times are computed by subtracting two OS-level timestamps rather than relying on continuous polling. Go's garbage collector can be disabled, greatly reducing the probability of unpredictable pauses that could corrupt stimulus timing. Finally, a set of over forty psychology experiments implemented in Goxpyriment are provided that promote not only learning by humans but also improve the ability of modern AI-assisted coding tools to help program experiments. The framework is released under the GNU General Public License v3 and is freely available at https://github.com/chrplr/goxpyriment.",https://arxiv.org/abs/2604.15245v1,8,2,2,7,3.5,skip,5+yr,"This paper introduces an open-source software library for running psychology and cognitive science experiments, written in Go instead of Python, making it easier to distribute and run reliably across lab computers. It's a useful academic tool but is free, open-source, and targets a narrow research community — there's no pricing power, no commercial product, and no public company whose revenue or moat depends on this. There is no investable angle here.",[],"This is the calibration example B — free open-source academic tool, retail_accessibility=2 triggers the cap, and there is no profit mechanism regardless.",v0.2-2026-04-18,claude-sonnet-4-6,3201,219,0.012888,2026-04-18T15:59:21
17,Space,"Photometric Metallicities for 367,324 stars of Omega Centauri","Omega Centauri is the most massive and chemically complex multi-population globular cluster with a wide metallicity range that has been extensively studied photometrically and spectroscopically. Using the wide metallicity range of omega Cen, HST photometry (F275W, F336W, F435W, F625W), and MUSE spectroscopy ([M/H]), we derive [M/H]- and M_{F625W}-dependent stellar loci to estimate photometric metallicities from HST colors. Our tests yield metallicity precisions of 0.10 dex for giants and 0.22 dex for fainter dwarfs. We construct a photometric metallicity catalog from simultaneous F336W, F435W, and F625W observations (plus F275W where available), containing 20,778 giants and 346,546 dwarfs. A subsample of 20,533 giants is used to study the spatial metallicity distribution and gradient. We find no significant metallicity gradient within the half-light radius, consistent with previous work. Moreover, the previously reported ring-like structure is less pronounced in our data, and no physically significant, irregular two-dimensional metallicity pattern is detected, indicating that the stellar subpopulations are well mixed within the half-light radius. Our catalog significantly extends the metallicity sample of omega Cen, and this approach can be applied to other HST data to estimate photometric metallicities.",https://arxiv.org/abs/2604.15103v1,7,1,1,7,2,skip,5+yr,"Researchers used Hubble Space Telescope imaging and spectroscopy to measure the chemical compositions (metallicities) of over 367,000 stars in Omega Centauri, the Milky Way's largest globular cluster, producing one of the largest stellar metallicity catalogs ever made. The work confirms prior findings about how these stellar populations are spatially distributed and refines the methodology for applying this technique to other star clusters. This is pure observational astronomy with no commercial applications or investable angle in any foreseeable timeframe.",[],"Pure academic astronomy catalog work — no commercial path, no public vehicle, no investable signal regardless of scientific quality.",v0.2-2026-04-18,claude-sonnet-4-6,3180,232,0.01302,2026-04-18T15:59:26
18,Space,Sky background accounting in spectral infrared observations of extended objects at the Caucasus Mountain Observatory of the SAI MSU,"The Caucasus Mountain Observatory of the Sternberg Astronomical Institute of Moscow State University is the only one in Russia and one of the few in the world where is possible to obtain spectral data in the near-infrared (IR) range at λ=1-2.5 μm. However, there is a problem of processing the spectra of extended objects, the angular dimensions of which exceed the length of the slit (4.5 arcmin). Obtaining additional spectra of the sky in the immediate vicinity of such objects does not solve the problem, since bright atmospheric hydroxyl lines at λ~2 μm change their intensity significantly over a time shorter than the exposure time of a single frame. We have developed a technique that allows us to correctly account for and exclude the contribution of variable atmospheric lines in the spectra of extended objects. This technique has been successfully tested in spectroscopic studies of the star-forming region NGC 7538 (S158) in our Galaxy.",https://arxiv.org/abs/2604.14863v1,5,1,1,6,2,skip,5+yr,Researchers at a Russian observatory developed a technique to remove the interference of variable atmospheric emission lines when taking infrared spectra of large astronomical objects. They tested it on a star-forming region in the Milky Way. This is a niche observational astronomy methodology paper with no commercial application or investable angle in any timeframe.,[],"Pure observational astronomy instrumentation technique with no commercial path, no public vehicle, and no market-relevant application within any investable horizon.",v0.2-2026-04-18,claude-sonnet-4-6,3072,191,0.012081,2026-04-18T15:59:31
